ParticipantID,ColorID,LightingTemperature,LightingIntensity,CentroidUB_HSV,CentroidLB_HSV
14,3,10000K,Low,[0.34148150;1.0;1.0],[0.25358155;1.0;1.0]
14,1,10000K,Low,[0.71526514;1.0;1.0],[0.64031376;1.0;1.0]
14,2,10000K,Low,[0.01673140;1.0;1.0],[0.97739862;1.0;1.0]
14,2,4000K,Normal,[0.02911218;1.0;1.0],[0.97245925;1.0;1.0]
14,3,4000K,Normal,[0.37107870;1.0;1.0],[0.27700088;1.0;1.0]
14,1,4000K,Normal,[0.69100521;1.0;1.0],[0.64140460;1.0;1.0]
14,1,4000K,High,[0.69143105;1.0;1.0],[0.65319449;1.0;1.0]
14,3,4000K,High,[0.36919401;1.0;1.0],[0.28725259;1.0;1.0]
14,2,4000K,High,[0.01802684;1.0;1.0],[0.98008838;1.0;1.0]
14,1,4000K,Low,[0.67903230;1.0;1.0],[0.64682739;1.0;1.0]
14,3,4000K,Low,[0.37272514;1.0;1.0],[0.26804170;1.0;1.0]
14,2,4000K,Low,[0.02631207;1.0;1.0],[0.97144007;1.0;1.0]
14,1,7000K,Normal,[0.70608441;1.0;1.0],[0.64669587;1.0;1.0]
14,2,7000K,Normal,[0.03492392;1.0;1.0],[0.98045053;1.0;1.0]
14,3,7000K,Normal,[0.34705308;1.0;1.0],[0.25828061;1.0;1.0]
14,2,7000K,High,[0.01770989;1.0;1.0],[0.99262814;1.0;1.0]
14,3,7000K,High,[0.35635728;1.0;1.0],[0.25718459;1.0;1.0]
14,1,7000K,High,[0.70956945;1.0;1.0],[0.64592535;1.0;1.0]
14,3,7000K,Low,[0.35674858;1.0;1.0],[0.25290168;1.0;1.0]
14,2,7000K,Low,[0.03315615;1.0;1.0],[0.97696686;1.0;1.0]
14,1,7000K,Low,[0.70022394;1.0;1.0],[0.63701314;1.0;1.0]
14,1,10000K,Normal,[0.71850915;1.0;1.0],[0.64501225;1.0;1.0]
14,3,10000K,Normal,[0.34113502;1.0;1.0],[0.25034660;1.0;1.0]
14,2,10000K,Normal,[0.02853565;1.0;1.0],[0.98501792;1.0;1.0]
15,1,10000K,Low,[0.72435848;1.0;1.0],[0.65156355;1.0;1.0]
15,3,10000K,Low,[0.34811874;1.0;1.0],[0.24883306;1.0;1.0]
15,2,10000K,Low,[0.02031182;1.0;1.0],[0.98478962;1.0;1.0]
15,2,4000K,Normal,[0.02718036;1.0;1.0],[0.98160108;1.0;1.0]
15,3,4000K,Normal,[0.37454625;1.0;1.0],[0.27007436;1.0;1.0]
15,1,4000K,Normal,[0.70312261;1.0;1.0],[0.64495997;1.0;1.0]
15,3,4000K,High,[0.37186674;1.0;1.0],[0.27741632;1.0;1.0]
15,1,4000K,High,[0.68985008;1.0;1.0],[0.65254774;1.0;1.0]
15,2,4000K,High,[0.01814922;1.0;1.0],[0.96740743;1.0;1.0]
15,3,4000K,Low,[0.37321129;1.0;1.0],[0.26291786;1.0;1.0]
15,2,4000K,Low,[0.01326183;1.0;1.0],[0.98374885;1.0;1.0]
15,1,4000K,Low,[0.69251732;1.0;1.0],[0.63849910;1.0;1.0]
15,3,7000K,Normal,[0.35181232;1.0;1.0],[0.25540911;1.0;1.0]
15,2,7000K,Normal,[0.01783275;1.0;1.0],[0.99765144;1.0;1.0]
15,1,7000K,Normal,[0.70272829;1.0;1.0],[0.63628072;1.0;1.0]
15,2,7000K,High,[0.01945447;1.0;1.0],[0.98568341;1.0;1.0]
15,1,7000K,High,[0.69167962;1.0;1.0],[0.65483117;1.0;1.0]
15,3,7000K,High,[0.35961024;1.0;1.0],[0.25894497;1.0;1.0]
15,3,7000K,Low,[0.34421522;1.0;1.0],[0.27506905;1.0;1.0]
15,1,7000K,Low,[0.69795049;1.0;1.0],[0.65016586;1.0;1.0]
15,2,7000K,Low,[0.03363055;1.0;1.0],[0.98423190;1.0;1.0]
15,3,10000K,Normal,[0.34054085;1.0;1.0],[0.24711910;1.0;1.0]
15,1,10000K,Normal,[0.71814386;1.0;1.0],[0.64354933;1.0;1.0]
15,2,10000K,Normal,[0.02602934;1.0;1.0],[0.98603022;1.0;1.0]
15,2,10000K,High,[0.01664084;1.0;1.0],[0.97461826;1.0;1.0]
15,1,10000K,High,[0.70842260;1.0;1.0],[0.64893618;1.0;1.0]
