ParticipantID,ColorID,LightingTemperature,LightingIntensity,IdealMatch,TextureRenderCentroidUB,TextureRenderCentroidLB
14,1,7000K,Normal,(0.66753790:0.75253250:0.64016730),(0.68495660:0.75253250:0.64016730),(0.66167550:0.74859890:0.64016730)
14,2,7000K,Normal,(0.00096963:0.74386480:0.60822740),(0.01639054:0.74386480:0.60822740),(0.99409420:0.73953720:0.60822740)
14,3,7000K,Normal,(0.33143670:0.74392040:0.60835960),(0.33556510:0.73545460:0.60835960),(0.27875430:0.74392040:0.60835960)
14,2,7000K,High,(0.00099043:0.72751490:0.74053590),(0.00605614:0.72751490:0.74053590),(0.99910580:0.72319160:0.74053590)
14,3,7000K,High,(0.33140340:0.72701480:0.73917930),(0.34011470:0.71859640:0.73917930),(0.27764290:0.72701480:0.73917930)
14,1,7000K,High,(0.66754940:0.73562130:0.77535190),(0.68742200:0.73562130:0.77535190),(0.66143180:0.73172480:0.77535190)
14,3,7000K,Low,(0.33151750:0.79114030:0.42362040),(0.34109970:0.78252080:0.42362040),(0.27204550:0.79114030:0.42362040)
14,2,7000K,Low,(0.00094315:0.78956430:0.42044790),(0.01557917:0.78956430:0.42044790),(0.99154670:0.78509620:0.42044790)
14,1,7000K,Low,(0.66748540:0.79975370:0.45122350),(0.68072800:0.79975370:0.45122350),(0.65622390:0.79582490:0.45122350)
14,1,10000K,Normal,(0.66287900:0.80235840:0.64016730),(0.68590070:0.78412400:0.64016730),(0.65712100:0.80235840:0.64016730)
14,3,10000K,Normal,(0.34478010:0.77104900:0.55262320),(0.34696710:0.77104900:0.55262320),(0.28447680:0.71809280:0.55262320)
14,2,10000K,Normal,(0.99219360:0.73102070:0.51378220),(0.00465261:0.69678120:0.51378220),(0.98660920:0.73102070:0.51378220)
15,1,10000K,Low,(0.66323870:0.84837980:0.45122350),(0.69177860:0.83093050:0.45122350),(0.65937700:0.84837980:0.45122350)
15,3,10000K,Low,(0.34378060:0.82388950:0.38847540),(0.34885260:0.82388950:0.38847540),(0.28004230:0.77224480:0.38847540)
15,2,10000K,Low,(0.99286160:0.78860340:0.36087690),(0.00068346:0.75482700:0.36087690),(0.98692540:0.78860340:0.36087690)
15,2,4000K,Normal,(0.01390361:0.86799530:0.63249030),(0.02143030:0.86799530:0.63249030),(0.01020694:0.84748720:0.63249030)
15,3,4000K,Normal,(0.30099010:0.84197260:0.52833680),(0.31680020:0.75330730:0.52833680),(0.25875210:0.84197260:0.52833680)
15,1,4000K,Normal,(0.68858720:0.70443380:0.43743180),(0.71314170:0.70443380:0.43743180),(0.67995460:0.66478610:0.43743180)
15,3,4000K,High,(0.29999980:0.82279600:0.63937660),(0.31324780:0.74843220:0.63937660),(0.26537020:0.82279600:0.63937660)
15,1,4000K,High,(0.68988270:0.67342420:0.51980440),(0.70198640:0.67342420:0.51980440),(0.68551690:0.65353470:0.51980440)
15,2,4000K,High,(0.01431303:0.85298870:0.77068950),(0.01810356:0.85298870:0.77068950),(0.00544765:0.80608300:0.77068950)
15,3,4000K,Low,(0.30401670:0.89559450:0.37348010),(0.32258540:0.78893670:0.37348010),(0.25404590:0.89559450:0.37348010)
15,2,4000K,Low,(0.01315668:0.91065310:0.43642620),(0.01619815:0.91065310:0.43642620),(0.00902290:0.88677360:0.43642620)
15,1,4000K,Low,(0.68437110:0.78605150:0.32889570),(0.69675730:0.78605150:0.32889570),(0.67094400:0.72105740:0.32889570)
15,3,7000K,Normal,(0.33143670:0.74392040:0.60835960),(0.33776980:0.73545460:0.60835960),(0.27561640:0.74392040:0.60835960)
15,2,7000K,Normal,(0.00096963:0.74386480:0.60822740),(0.00618838:0.74386480:0.60822740),(0.00034504:0.74107130:0.60822740)
15,1,7000K,Normal,(0.66753790:0.75253250:0.64016730),(0.68256000:0.75253250:0.64016730),(0.65594990:0.74859890:0.64016730)
15,2,7000K,High,(0.00099043:0.72751490:0.74053590),(0.00683078:0.72751490:0.74053590),(0.99672250:0.72319160:0.74053590)
15,1,7000K,High,(0.66754940:0.73562130:0.77535190),(0.67565540:0.73562130:0.77535190),(0.66481600:0.73172480:0.77535190)
15,3,7000K,High,(0.33140340:0.72701480:0.73917930),(0.34216450:0.71859640:0.73917930),(0.27957880:0.72701480:0.73917930)
15,3,7000K,Low,(0.33151750:0.79114030:0.42362040),(0.33479720:0.78252080:0.42362040),(0.29569480:0.79114030:0.42362040)
15,1,7000K,Low,(0.66748540:0.79975370:0.45122350),(0.67930410:0.79975370:0.45122350),(0.66302680:0.79582490:0.45122350)
15,2,7000K,Low,(0.00094315:0.78956430:0.42044790),(0.01591882:0.78956430:0.42044790),(0.99556820:0.78509620:0.42044790)
15,3,10000K,Normal,(0.34478010:0.77104900:0.55262320),(0.34679260:0.77104900:0.55262320),(0.28084850:0.71809280:0.55262320)
15,1,10000K,Normal,(0.66287900:0.80235840:0.64016730),(0.68562610:0.78412400:0.64016730),(0.65649720:0.80235840:0.64016730)
15,2,10000K,Normal,(0.99219360:0.73102070:0.51378220),(0.00287477:0.69678120:0.51378220),(0.98712370:0.73102070:0.51378220)
